ordering,keywords,collection_id,source_table_id,variable_id,indicator_id,preset,year,indicator_path,Tema,indicator_label,Subtema,variant_label,variant_path,_measure_unit_prev,measure_unit,is_default_variable,description,metodology
1,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_uf,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código da Unidade da Federação,Metodologia
2,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_bairro,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código de bairro,Metodologia
3,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,situacao_setor,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código de situação do setor,Metodologia
4,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_distrito,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do distrito,Metodologia
5,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_municipio,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do município,Metodologia
6,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_setor,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do setor,Metodologia
7,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_subdistrito,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do subdistrito,Metodologia
8,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_uf,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome da Unidade da Federação,Metodologia
9,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_bairro,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome do bairro,Metodologia
10,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_distrito,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome do distrito,Metodologia
11,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_municipio,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome do município,Metodologia
12,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_subdistrito,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome do subdistrito,Metodologia
13,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_0_4_mas_pct,pop_bas_mor_tot_0_4_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 0 a 4 anos de idade,População por faixa etária,Homens,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Homens de 0 a 4 anos de idade,Metodologia
14,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_0_4_fem_pct,pop_bas_mor_tot_0_4_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 0 a 4 anos de idade,População por faixa etária,Mulheres,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Mulheres de 0 a 4 anos de idade,Metodologia
15,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_tot_0_4_pct,pop_bas_mor_tot_0_4_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 0 a 4 anos de idade,População por faixa etária,Total de residentes,Total,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,sim,Pessoas de 0 a 4 anos de idade,Metodologia
