Tema,Subtema,ST,ID,UN,DS,REC,indicator_id_abs,indicator_id_rel,is_default_variable,variable_id_abs,aux_abs,variable_id_rel,aux_rel,indicator_label,variant_label,measure_unit_abs,measure_unit_rel,variant_path,description,Arquivo_2010,Var_abs_2010,Var_rel_2010 (denominador),Observações,Descrição_2010,Script_2010_abs,Script_2010_rel,Arquivo_2022,Var_abs_2022,Var_rel_2022 (denominador),Descrição_2022,Script_2022_abs,Script_2022_rel,Arquivo_2000,Var_abs_2000,Descrição_2000,Var_rel_2000 (denominador),Script_2000_abs,Script_2000_rel
Básico,Características do setor,set,bas,set,,,,,,cod_bairro,"cod_bairro,",cod_bairro,"cod_bairro,",,,,,,,Basico,cod_bairro,-,,Código de bairro,"cod_bairro = cod_bairro,","cod_bairro = cod_bairro,",Basico,cd_bairro,-,Código de bairro,"cod_bairro = cd_bairro,",,Basico,Cod_bairro,Código de bairro,-,"cod_bairro = Cod_bairro,",
Básico,Características do setor,set,bas,set,,,,,,cod_distrito,"cod_distrito,",cod_distrito,"cod_distrito,",,,,,,,Basico,cod_distrito,-,,Código do distrito,"cod_distrito = cod_distrito,","cod_distrito = cod_distrito,",Basico,cd_dist,-,Código do distrito,"cod_distrito = cd_dist,",,Basico,Cod_distrito,Código do distrito,-,"cod_distrito = Cod_distrito,",
Básico,Características do setor,set,bas,set,,,,,,cod_municipio,"cod_municipio,",cod_municipio,"cod_municipio,",,,,,,,Basico,cod_municipio,-,,Código do município,"cod_municipio = cod_municipio,","cod_municipio = cod_municipio,",Basico,cd_mun,-,Código do município,"cod_municipio = cd_mun,",,Basico,Cod_municipio,Código do município,-,"cod_municipio = Cod_municipio,",
Básico,Características do setor,set,bas,set,,,,,,cod_setor,"cod_setor,",cod_setor,"cod_setor,",,,,,,,Basico,cod_setor,-,,Código do setor,"cod_setor = cod_setor,","cod_setor = cod_setor,",Basico,cd_setor,-,Código do setor,"cod_setor = cd_setor,",,Basico,Cod_setor,Código do setor,-,"cod_setor = Cod_setor,",
Básico,Características do setor,,,set,,,,,,cod_subdistrito,"cod_subdistrito,",cod_subdistrito,"cod_subdistrito,",,,,,,,Basico,cod_subdistrito,-,,Código do subdistrito,"cod_subdistrito = cod_subdistrito,","cod_subdistrito = cod_subdistrito,",Basico,cd_subdist,-,Código do subdistrito,"cod_subdistrito = cd_subdist,",,Basico,Cod_subdistrito,Código do subdistrito,-,"cod_subdistrito = Cod_subdistrito,",
Básico,Características do setor,set,bas,set,,,,,,cod_uf,"cod_uf,",cod_uf,"cod_uf,",,,,,,,Basico,cod_uf,-,,Código da Unidade da Federação,"cod_uf = cod_uf,","cod_uf = cod_uf,",Basico,cd_uf,-,Código da Unidade da Federação,"cod_uf = cd_uf,",,Basico,Cod_UF,Código da Unidade da Federação,-,"cod_uf = Cod_UF,",
Básico,Características do setor,set,bas,set,,,,,,nome_bairro,"nome_bairro,",nome_bairro,"nome_bairro,",,,,,,,Basico,nome_bairro,-,,Nome do bairro,"nome_bairro = nome_bairro,","nome_bairro = nome_bairro,",Basico,nm_bairro,-,Nome do bairro,"nome_bairro = nm_bairro,",,Basico,Nome_do_bairro,Nome do bairro,-,"nome_bairro = Nome_do_bairro,",
Básico,Características do setor,set,bas,set,,,,,,nome_distrito,"nome_distrito,",nome_distrito,"nome_distrito,",,,,,,,Basico,nome_distrito,-,,Nome do distrito,"nome_distrito = nome_distrito,","nome_distrito = nome_distrito,",Basico,nm_dist,-,Nome do distrito,"nome_distrito = nm_dist,",,Basico,Nome_do_distrito,Nome do distrito,-,"nome_distrito = Nome_do_distrito,",
Básico,Características do setor,set,bas,set,,,,,,nome_municipio,"nome_municipio,",nome_municipio,"nome_municipio,",,,,,,,Basico,nome_municipio,-,,Nome do município,"nome_municipio = nome_municipio,","nome_municipio = nome_municipio,",Basico,nm_mun,-,Nome do município,"nome_municipio = nm_mun,",,Basico,Nome_do_municipio,Nome do município,-,"nome_municipio = Nome_do_municipio,",
Básico,Características do setor,,,set,,,,,,nome_subdistrito,"nome_subdistrito,",nome_subdistrito,"nome_subdistrito,",,,,,,,Basico,nome_subdistrito,-,,Nome do subdistrito,"nome_subdistrito = nome_subdistrito,","nome_subdistrito = nome_subdistrito,",Basico,nm_subdist,-,Nome do subdistrito,"nome_subdistrito = nm_subdist,",,Basico,Nome_do_subdistrito,Nome do subdistrito,-,"nome_subdistrito = Nome_do_subdistrito,",
