keywords,ordering,variable_id,rede_ensino,rede_ensino_filter,indicator_id,variant_of_(EXCLUIR),variant_of,EXCLUIR,collection_id,preset,m_link_desc,m_link_title,m_link,m_year,m_description,metodology,m_source,etapa_ensino,etapa_ensino_filter,sizing_variable_id,filter,indicator_path,indicator_label,variant_label,variant_path,color_scheme,categories,skip,number_format,indicator_type,Tema,Subtema,classe,measure_unit,Descrição,Descrição 1,Descrição 2,Descrição 3,Descrição 4,Arquivo,Variável absoluta,Var 1,Var 2,Var 3,Var 4,Variável relativa (divisão),Arquivo,Link de acesso,Variável absoluta,Script,Variável relativa (divisão),Descrição,Arquivo,Variável absoluta,Descrição,Variável relativa (divisão),Observações,temp
,1,tp_situacao_funcionamento,todas,,todas_tp_situacao_funcionamento_todas,,,,cem_malha_escolas_publicas_2025,cem_escolas_2022,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),Microdados da educação básica 2025,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2025,2025,"Situação de funcionamento da escola, em que foram selecionadas somente escolas ativas.",https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/educacao/todas_tp_situacao_funcionamento_todas.md,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),todas,,,,Educação / 2025 / Outros,Situação de funcionamento,,,,"[{""label"": ""xpto"", ""color"":""red"", ""value"": ""Estadual""}]",TRUE,,categorical,Escolas,Informações básicas,int,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2031,TP_SITUACAO_FUNCIONAMENTO,,,,microdados_censo_escolar_2022,,,,,Cod_setor
,2,tp_dependencia,todas,,todas_tp_dependencia_todas,,,,cem_malha_escolas_publicas_2025,cem_escolas_2022,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),Microdados da educação básica 2025,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2025,2025,"Dependência administrativa, ou rede de ensino federal, estadual ou municipal.",https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/educacao/todas_tp_dependencia_todas.md,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),todas,,,,Educação / 2025 / Outros,Dependência administrativa,,,,,TRUE,,categorical,Escolas,Administração,int,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2032,TP_DEPENDENCIA,,"1: Federal, 2: Estadual, 3: municipal, 4: privado",,microdados_censo_escolar_2022,,,,,Nome_da_UF
,3,in25_edu02_mat_cre_0,todas,,edu02_etp_cre_0_in25_edu02_mat_cre_0_todas,,,,cem_malha_escolas_publicas_2025,cem_escolas_2022,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),Microdados da educação básica 2025,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2025,2025,"Quantidade de estudantes matriculados na etapa ""creche"" da educação infantil.",https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/educacao/edu02_etp_cre_0_in25_edu02_mat_cre_0_todas.md,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",in25_edu02_mat_cre_0,"{ in25_edu02_etp_cre_0: ['==', true] }",Educação / 2025 / Creche / Dimensão da escola,Quantidade de matrículas,Todas,,schemeSet1.colors[2],,,,numerical_size,Escolas,Etapas,int,Número por unidade - Creche,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2033,QT_MAT_CRE,,,QT_MAT_INF_CRE,microdados_censo_escolar_2022,,,,"Bolinha, tamanho variando continuamente",Nome_do_bairro
,4,in25_edu02_mat_cre_0,mun,"tp_dependencia: ['==', 'Pública - Municipal']",edu02_etp_cre_0_in25_edu02_mat_cre_0_mun,todas_qt_mat_inf_cre_todas,edu02_etp_cre_0_in25_edu02_mat_cre_0_todas,FALSE,cem_malha_escolas_publicas_2025,cem_escolas_2022,,,,,,,,edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",,"{in25_edu02_etp_cre_0: ['==', true], tp_dependencia: ['==', 'Pública - Municipal']}",,Quantidade de matrículas,Pública - Municipal,,,,,,,,,,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2048,IN_AGUA_REDE_PUBLICA,,,,microdados_censo_escolar_2022,,,,,ent_esg_dom_ren_1
,5,in25_edu02_mat_cre_0,est,"tp_dependencia: ['==', 'Pública - Estadual']",edu02_etp_cre_0_in25_edu02_mat_cre_0_est,todas_qt_mat_inf_cre_todas,edu02_etp_cre_0_in25_edu02_mat_cre_0_todas,FALSE,cem_malha_escolas_publicas_2025,cem_escolas_2022,,,,,,,,edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",,"{in25_edu02_etp_cre_0: ['==', true], tp_dependencia: ['==', 'Pública - Estadual']}",,Quantidade de matrículas,Pública - Estadual,,,,,,,,,,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2048,IN_AGUA_REDE_PUBLICA,,,,microdados_censo_escolar_2022,,,,,ent_esg_dom_ren_1
,6,in25_edu02_mat_cre_0,fed,"tp_dependencia: ['==', 'Pública - Federal']",edu02_etp_cre_0_in25_edu02_mat_cre_0_fed,todas_qt_mat_inf_cre_todas,edu02_etp_cre_0_in25_edu02_mat_cre_0_todas,FALSE,cem_malha_escolas_publicas_2025,cem_escolas_2022,,,,,,,,edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",,"{in25_edu02_etp_cre_0: ['==', true], tp_dependencia: ['==', 'Pública - Federal']}",,Quantidade de matrículas,Pública - Federal,,,,,,,,,,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2048,IN_AGUA_REDE_PUBLICA,,,,microdados_censo_escolar_2022,,,,,ent_esg_dom_ren_1
,,in25_edu02_mat_cre_0,prv,"tp_dependencia: ['==', 'Privada']",edu02_etp_cre_0_in25_edu02_mat_cre_0_prv,todas_qt_mat_inf_cre_todas,edu02_etp_cre_0_in25_edu02_mat_cre_0_todas,FALSE,cem_malha_escolas_publicas_2025,cem_escolas_2022,,,,,,,,edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",,"{in25_edu02_etp_cre_0: ['==', true], tp_dependencia: ['==', 'Privada']}",,Quantidade de matrículas,Privada,,,,,,,,,,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2048,IN_AGUA_REDE_PUBLICA,,,,microdados_censo_escolar_2022,,,,,ent_esg_dom_ren_1
,3,in25_edu02_mat_cre_int_2,todas,,edu02_etp_cre_0_in25_edu02_mat_cre_int_2_todas,,,,cem_malha_escolas_publicas_2025,cem_escolas_2022,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),Microdados da educação básica 2025,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2025,2025,Porcentagem de Matrículas da Educação Infantil - Creche - Tempo Integral,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/educacao/edu02_etp_cre_0_in25_edu02_mat_cre_int_2_todas.md,Censo Escolar do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira),edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",in25_edu02_mat_cre_0,"{ in25_edu02_etp_cre_0: ['==', true] }",Educação / 2025 / Creche / Dimensão da escola,Porcentagem de Matrículas em Tempo Integral,Todas,,schemeRdYlBu,,,"['pt-BR', { style: ""percent"" }]",numerical_choropleth,Escolas,Etapas,num,Número por unidade - Creche,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2033,QT_MAT_CRE,,,QT_MAT_INF_CRE,microdados_censo_escolar_2022,,,,"Bolinha, tamanho variando continuamente",Nome_do_bairro
,4,in25_edu02_mat_cre_int_2,mun,"tp_dependencia: ['==', 'Pública - Municipal']",edu02_etp_cre_0_in25_edu02_mat_cre_int_2_mun,todas_qt_mat_inf_cre_todas,edu02_etp_cre_0_in25_edu02_mat_cre_int_2_todas,FALSE,cem_malha_escolas_publicas_2025,cem_escolas_2022,,,,,,,,edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",,"{in25_edu02_etp_cre_0: ['==', true], tp_dependencia: ['==', 'Pública - Municipal']}",,Porcentagem de Matrículas em Tempo Integral,Pública - Municipal,,,,,,,,,,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2048,IN_AGUA_REDE_PUBLICA,,,,microdados_censo_escolar_2022,,,,,ent_esg_dom_ren_1
,5,in25_edu02_mat_cre_int_2,est,"tp_dependencia: ['==', 'Pública - Estadual']",edu02_etp_cre_0_in25_edu02_mat_cre_int_2_est,todas_qt_mat_inf_cre_todas,edu02_etp_cre_0_in25_edu02_mat_cre_int_2_todas,FALSE,cem_malha_escolas_publicas_2025,cem_escolas_2022,,,,,,,,edu02_etp_cre_0,"in25_edu02_etp_cre_0: ['==', true]",,"{in25_edu02_etp_cre_0: ['==', true], tp_dependencia: ['==', 'Pública - Estadual']}",,Porcentagem de Matrículas em Tempo Integral,Pública - Estadual,,,,,,,,,,,,,,,,,,,,,,,microdados_censo_escolar_2022,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados/2048,IN_AGUA_REDE_PUBLICA,,,,microdados_censo_escolar_2022,,,,,ent_esg_dom_ren_1
